host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,Number of amenities,guests_included,price_per_extra_person,minimum_nights,number_of_reviews,number_days_btw_first_last_review,review_scores_rating,cancellation_policy,price,price_gte_150,price_category
0,0,Roslindale,42.28052813,-71.13084254,Apartment,Private room,2,0,1,1,Real Bed,16,1,10,1,38,1794,98,strict,70,0,lte_$75
0,1,Roslindale,42.27838291,-71.1287801,House,Entire home/apt,8,1,3,5,Real Bed,13,6,0,3,21,378,88,flexible,150,1,btw_$75-$150
0,0,Roslindale,42.27683095,-71.12955974,House,Entire home/apt,5,3.5,4,3,Real Bed,15,1,0,14,1,0,100,moderate,175,1,btw_$151-$225
1,1,Roslindale,42.29090393,-71.13023771,House,Private room,2,1.5,1,1,Real Bed,25,1,0,1,40,1053,96,moderate,95,0,btw_$75-$150
0,0,Roslindale,42.29151999,-71.13185777,Apartment,Private room,2,1,1,1,Real Bed,11,1,0,1,43,937,95,strict,90,0,btw_$75-$150
1,1,Roslindale,42.28907107,-71.12823296,House,Private room,2,1,1,1,Real Bed,11,1,0,2,33,231,99,moderate,95,0,btw_$75-$150
0,1,Roslindale,42.29223824,-71.13449706,Apartment,Private room,2,1,1,2,Real Bed,6,1,100,1,11,1218,90,flexible,100,0,btw_$75-$150
1,1,Roslindale,42.28208581,-71.13334868,House,Private room,2,1,1,1,Real Bed,16,1,5,1,20,1017,96,flexible,67,0,lte_$75
0,1,Roslindale,42.28456151,-71.11972634,Condominium,Private room,1,1,1,1,Real Bed,15,1,0,1,30,458,92,flexible,55,0,lte_$75
0,1,Roslindale,42.27696862,-71.11775586,Apartment,Entire home/apt,6,1,2,2,Real Bed,15,4,20,2,2,58,100,strict,200,1,btw_$151-$225
0,1,Roslindale,42.28922069,-71.13071327,Apartment,Entire home/apt,4,1,1,2,Real Bed,14,1,0,1,0,0,,flexible,150,1,btw_$75-$150
1,1,Roslindale,42.28228163,-71.11681747,House,Private room,1,1,1,1,Real Bed,13,1,10,5,10,343,98,strict,49,0,lte_$75
0,0,Roslindale,42.27691292,-71.12823284,House,Private room,1,1.5,1,1,Real Bed,7,1,0,1,17,795,96,flexible,75,0,lte_$75
0,1,Roslindale,42.28967076,-71.13728641,House,Entire home/apt,4,1,1,2,Real Bed,16,2,20,3,55,692,87,strict,110,0,btw_$75-$150
0,0,Roslindale,42.28960322,-71.13336749,Apartment,Private room,2,1,1,1,Real Bed,12,1,0,1,0,0,,strict,115,0,btw_$75-$150
0,1,Roslindale,42.2791761,-71.1327718,House,Entire home/apt,16,1,3,5,Real Bed,16,1,25,1,24,331,91,strict,125,0,btw_$75-$150
0,1,Roslindale,42.28214228,-71.12904915,House,Entire home/apt,16,2.5,3,7,Real Bed,19,1,25,1,82,553,95,strict,200,1,btw_$151-$225
1,1,Roslindale,42.28174852,-71.14031784,House,Private room,2,2,1,1,Real Bed,22,1,15,1,20,686,97,moderate,75,0,lte_$75
0,1,Roslindale,42.2756372,-71.12480042,House,Private room,1,1,1,1,Real Bed,1,1,0,3,21,691,95,flexible,78,0,btw_$75-$150
0,1,Roslindale,42.2875977,-71.13448153,Apartment,Private room,4,1,1,2,Real Bed,11,1,0,2,10,36,96,flexible,50,0,lte_$75
1,1,Roslindale,42.28997231,-71.13614632,Apartment,Private room,1,1,1,1,Real Bed,13,1,10,1,143,967,98,flexible,60,0,lte_$75
1,1,Roslindale,42.27896822,-71.13671456,House,Private room,1,1.5,1,1,Real Bed,13,1,0,2,2,20,100,flexible,45,0,lte_$75
0,0,Roslindale,42.28290546,-71.13267674,House,Entire home/apt,4,1,2,2,Real Bed,15,3,33,5,26,1030,92,strict,145,0,btw_$75-$150
0,0,Roslindale,42.27636368,-71.13643293,House,Private room,2,2,1,1,Real Bed,13,1,10,2,5,45,96,flexible,45,0,lte_$75
1,1,Roslindale,42.29110718,-71.13133846,House,Private room,2,1.5,1,1,Real Bed,19,1,0,1,29,510,97,moderate,85,0,btw_$75-$150
0,1,Roslindale,42.27571563,-71.13013943,House,Private room,1,1,1,1,Real Bed,18,1,25,3,9,671,93,strict,75,0,lte_$75
0,1,Roslindale,42.27493019,-71.13062801,House,Private room,2,2,1,1,Real Bed,20,1,10,2,14,317,99,flexible,50,0,lte_$75
1,1,Roslindale,42.28027891,-71.13586963,House,Private room,1,2.5,1,1,Real Bed,13,1,0,2,8,720,97,flexible,45,0,lte_$75
0,1,Roslindale,42.28556003,-71.1239987,House,Private room,2,1,1,1,Real Bed,17,2,50,2,117,1081,92,moderate,60,0,lte_$75
1,1,Roslindale,42.28702561,-71.13353879,Apartment,Entire home/apt,3,1,1,1,Real Bed,19,1,0,1,53,753,99,strict,95,0,btw_$75-$150
0,0,Roslindale,42.28606773,-71.1323625,Apartment,Entire home/apt,2,1,0,1,Real Bed,10,2,39,3,3,670,100,strict,89,0,btw_$75-$150
0,0,Roslindale,42.28389087,-71.13140827,Apartment,Entire home/apt,3,1,0,2,Real Bed,20,1,25,2,0,0,,flexible,110,0,btw_$75-$150
0,1,Roslindale,42.29392464,-71.13548936,Condominium,Private room,2,1,1,1,Pull-out Sofa,22,1,15,1,0,0,,flexible,65,0,lte_$75
0,1,Roslindale,42.29061656,-71.13273461,House,Entire home/apt,7,2,3,3,Real Bed,15,5,25,3,2,50,80,strict,285,1,gte_226
0,0,Jamaica Plain,42.31379196,-71.10338741,Apartment,Entire home/apt,4,1,1,1,Real Bed,10,4,0,3,1,0,,moderate,140,0,btw_$75-$150
0,0,Jamaica Plain,42.30797481,-71.11622135,Apartment,Private room,2,1,1,1,Real Bed,14,1,10,2,23,1506,93,strict,70,0,lte_$75
0,1,Jamaica Plain,42.30935659,-71.1168273,House,Private room,2,1,1,1,Real Bed,15,1,20,1,14,600,93,flexible,95,0,btw_$75-$150
0,0,Jamaica Plain,42.31691221,-71.11302542,Bed & Breakfast,Private room,2,1,1,1,Real Bed,10,1,0,300,3,920,100,flexible,55,0,lte_$75
1,1,Jamaica Plain,42.30398456,-71.10449361,Apartment,Private room,2,1,1,1,Real Bed,19,1,0,2,57,680,99,moderate,80,0,btw_$75-$150
0,1,Jamaica Plain,42.31632876,-71.09909642,House,Private room,2,1,1,1,Real Bed,14,1,0,2,58,719,97,flexible,120,0,btw_$75-$150
1,1,Jamaica Plain,42.32002252,-71.1059405,Apartment,Private room,2,1,1,1,Real Bed,13,1,0,1,1,0,100,flexible,65,0,lte_$75
1,1,Jamaica Plain,42.31451961,-71.10558689,Apartment,Private room,4,1,1,2,Real Bed,17,2,20,2,46,438,97,moderate,100,0,btw_$75-$150
1,0,Jamaica Plain,42.32171967,-71.10345882,Apartment,Private room,1,1,1,1,Real Bed,0,1,0,3,68,463,96,moderate,65,0,lte_$75
0,1,Jamaica Plain,42.3167906,-71.11563043,House,Private room,1,1,1,1,Real Bed,13,1,0,2,0,0,,flexible,60,0,lte_$75
0,1,Jamaica Plain,42.31951,-71.1053766,Apartment,Private room,2,1,1,1,Real Bed,9,1,0,2,3,25,73,flexible,63,0,lte_$75
0,0,Jamaica Plain,42.31527457,-71.11331606,Townhouse,Private room,2,1,1,1,Real Bed,22,1,0,1,4,112,100,flexible,75,0,lte_$75
0,0,Jamaica Plain,42.31549953,-71.11706562,House,Private room,2,1,1,1,Real Bed,8,1,25,1,2,11,90,strict,65,0,lte_$75
0,1,Jamaica Plain,42.31690481,-71.10519471,Apartment,Private room,1,1,1,1,Real Bed,12,1,0,1,7,353,94,strict,110,0,btw_$75-$150
0,1,Jamaica Plain,42.31189729,-71.10315398,House,Private room,2,1,1,1,Real Bed,17,2,25,2,18,362,82,strict,46,0,lte_$75
0,1,Jamaica Plain,42.31706413,-71.10358572,Apartment,Private room,3,1,1,1,Real Bed,17,1,0,2,0,0,,strict,75,0,lte_$75
0,0,Jamaica Plain,42.30510763,-71.10643297,Apartment,Private room,2,1.5,1,1,Real Bed,9,2,50,3,9,770,98,moderate,62,0,lte_$75
0,1,Jamaica Plain,42.31590728,-71.11327328,Condominium,Private room,2,1.5,1,1,Real Bed,9,1,12,2,0,0,,flexible,69,0,lte_$75
0,1,Jamaica Plain,42.31265282,-71.0997234,Apartment,Private room,2,1,1,1,Real Bed,13,1,15,2,4,192,100,moderate,69,0,lte_$75
0,1,Jamaica Plain,42.31530071,-71.09976783,House,Private room,2,2,1,1,Real Bed,13,1,0,1,19,397,99,moderate,73,0,lte_$75
0,0,Jamaica Plain,42.31319703,-71.11832362,Apartment,Private room,1,1,1,1,Real Bed,14,1,20,2,22,1772,99,strict,85,0,btw_$75-$150
1,1,Jamaica Plain,42.31421512,-71.10940661,Apartment,Private room,2,2,1,1,Real Bed,18,1,20,1,17,1110,96,strict,120,0,btw_$75-$150
0,1,Jamaica Plain,42.31256676,-71.12607999,House,Private room,2,3.5,1,2,Real Bed,13,1,25,2,1,0,100,flexible,125,0,btw_$75-$150
0,1,Jamaica Plain,42.31678462,-71.10731719,Apartment,Private room,1,1,1,1,Pull-out Sofa,13,1,0,1,7,109,93,flexible,70,0,lte_$75
0,0,Jamaica Plain,42.31362611,-71.10819525,Condominium,Private room,2,1,1,1,Real Bed,14,1,0,1,0,0,,flexible,100,0,btw_$75-$150
0,1,Jamaica Plain,42.30370465,-71.11397057,Condominium,Private room,2,1,1,1,Real Bed,21,1,0,1,7,236,97,moderate,61,0,lte_$75
0,1,Jamaica Plain,42.30334666,-71.10497372,House,Private room,4,1,1,2,Real Bed,16,2,50,1,132,1496,97,strict,125,0,btw_$75-$150
0,0,Jamaica Plain,42.29106052,-71.11593555,Apartment,Private room,2,1,1,1,Real Bed,8,1,0,1,14,1192,88,flexible,100,0,btw_$75-$150
0,1,Jamaica Plain,42.29763812,-71.11399252,Apartment,Private room,1,1,1,1,Real Bed,10,1,0,1,0,0,,flexible,27,0,lte_$75
0,1,Jamaica Plain,42.30537679,-71.11324413,Apartment,Private room,2,1,1,1,Real Bed,15,1,0,2,12,85,98,flexible,80,0,btw_$75-$150
0,1,Jamaica Plain,42.31449927,-71.11223192,House,Private room,2,1,1,1,Real Bed,0,1,0,1,3,598,100,flexible,85,0,btw_$75-$150
0,0,Jamaica Plain,42.31738707,-71.10003066,House,Private room,3,1,1,2,Real Bed,7,1,25,1,43,648,91,flexible,75,0,lte_$75
0,1,Jamaica Plain,42.32423675,-71.10812405,House,Private room,1,1,1,1,Real Bed,4,1,0,7,1,0,20,flexible,57,0,lte_$75
0,1,Jamaica Plain,42.32219838,-71.10629671,Apartment,Private room,2,1,1,1,Real Bed,16,1,0,1,0,0,,moderate,100,0,btw_$75-$150
0,0,Jamaica Plain,42.32284647,-71.10517195,Apartment,Private room,1,1,1,1,Real Bed,6,1,0,1,0,0,,flexible,40,0,lte_$75
0,1,Jamaica Plain,42.31803897,-71.11687373,House,Private room,1,1,1,1,Real Bed,13,1,0,4,20,685,98,strict,100,0,btw_$75-$150
0,1,Jamaica Plain,42.3140648,-71.09905546,House,Private room,2,2.5,1,1,Real Bed,12,1,0,1,9,194,93,flexible,70,0,lte_$75
1,1,Jamaica Plain,42.32566812,-71.10543389,Apartment,Entire home/apt,4,1,2,2,Real Bed,12,2,15,4,26,530,95,moderate,190,1,btw_$151-$225
0,1,Jamaica Plain,42.32487447,-71.10556705,Apartment,Entire home/apt,3,1,1,1,Real Bed,11,1,0,7,17,837,95,flexible,149,0,btw_$75-$150
0,1,Jamaica Plain,42.32038119,-71.11270173,Apartment,Entire home/apt,6,1,2,2,Real Bed,22,1,0,3,47,524,94,moderate,168,1,btw_$151-$225
0,1,Jamaica Plain,42.32327561,-71.10705882,House,Entire home/apt,5,2,3,4,Real Bed,14,1,0,2,9,375,87,moderate,205,1,btw_$151-$225
0,1,Jamaica Plain,42.31362383,-71.09821201,House,Private room,2,2.5,1,1,Real Bed,12,1,0,1,17,133,92,flexible,65,0,lte_$75
0,1,Jamaica Plain,42.32157794,-71.11411533,Apartment,Entire home/apt,2,1,1,1,Futon,13,1,0,1,5,98,92,flexible,75,0,lte_$75
0,1,Jamaica Plain,42.32267989,-71.11561972,Condominium,Entire home/apt,4,1,2,4,Real Bed,8,1,0,1,0,0,,flexible,117,0,btw_$75-$150
0,1,Jamaica Plain,42.32051086,-71.11215759,Apartment,Entire home/apt,8,2,4,6,Real Bed,23,6,15,3,35,1099,91,strict,429,1,gte_226
0,1,Jamaica Plain,42.30633269,-71.1190246,Apartment,Private room,2,1,1,1,Real Bed,14,1,10,2,53,1200,95,flexible,95,0,btw_$75-$150
0,1,Jamaica Plain,42.30992056,-71.11072692,Apartment,Private room,2,1,1,1,Real Bed,11,1,0,1,0,0,,flexible,69,0,lte_$75
0,1,Jamaica Plain,42.30757426,-71.13463037,House,Private room,2,,1,1,Real Bed,9,1,0,1,17,1172,94,moderate,85,0,btw_$75-$150
1,1,Jamaica Plain,42.30997683,-71.10962021,Apartment,Private room,2,1,1,1,Futon,21,1,15,3,13,308,100,strict,69,0,lte_$75
0,0,Jamaica Plain,42.3090739,-71.11254191,House,Entire home/apt,2,1,1,1,Real Bed,10,1,0,2,9,195,93,flexible,165,1,btw_$151-$225
0,0,Jamaica Plain,42.31357234,-71.11381933,Apartment,Entire home/apt,4,1,2,2,Real Bed,25,4,50,5,2,11,90,flexible,150,1,btw_$75-$150
0,1,Jamaica Plain,42.29644508,-71.1111878,Condominium,Entire home/apt,7,1,4,4,Real Bed,19,6,0,1,0,0,,flexible,267,1,gte_226
0,1,Jamaica Plain,42.31169374,-71.1011646,Apartment,Private room,2,1,1,1,Real Bed,20,1,25,2,6,302,97,moderate,87,0,btw_$75-$150
0,1,Jamaica Plain,42.29985744,-71.11235604,Townhouse,Private room,2,1,1,1,Real Bed,16,1,0,2,20,92,96,strict,62,0,lte_$75
0,1,Jamaica Plain,42.31842255,-71.10550531,Apartment,Entire home/apt,2,1,1,1,Real Bed,10,2,10,2,6,96,97,moderate,110,0,btw_$75-$150
0,1,Jamaica Plain,42.31185272,-71.10926319,Apartment,Entire home/apt,6,2,3,3,Real Bed,12,1,0,4,6,1109,90,strict,250,1,gte_226
1,1,Jamaica Plain,42.31737019,-71.11485899,Apartment,Entire home/apt,6,1,2,2,Real Bed,15,2,35,2,14,756,97,strict,150,1,btw_$75-$150
0,1,Jamaica Plain,42.30704885,-71.11662413,House,Entire home/apt,7,2,3,4,Real Bed,18,2,50,2,3,119,93,flexible,300,1,gte_226
0,0,Jamaica Plain,42.30906285,-71.11141973,Apartment,Entire home/apt,2,1,0,1,Real Bed,17,1,0,1,13,38,100,strict,119,0,btw_$75-$150
1,1,Jamaica Plain,42.30883694,-71.11935092,Apartment,Entire home/apt,2,1,0,1,Real Bed,17,2,0,2,148,759,99,moderate,175,1,btw_$151-$225
1,1,Jamaica Plain,42.31923483,-71.10501594,House,Entire home/apt,6,2,2,2,Real Bed,19,3,25,4,24,247,96,strict,195,1,btw_$151-$225
0,1,Jamaica Plain,42.30606394,-71.11516054,Condominium,Entire home/apt,4,1,2,2,Real Bed,15,1,0,2,4,76,90,strict,145,0,btw_$75-$150
0,1,Jamaica Plain,42.3039816,-71.11848461,Apartment,Entire home/apt,4,1,2,2,Real Bed,17,1,0,2,10,490,92,moderate,200,1,btw_$151-$225
0,1,Jamaica Plain,42.31482748,-71.11295481,House,Private room,1,1,1,1,Futon,14,1,0,1,42,444,99,flexible,90,0,btw_$75-$150
0,1,Jamaica Plain,42.30484333,-71.10627116,Apartment,Entire home/apt,4,1,2,2,Real Bed,20,4,50,2,41,955,94,moderate,210,1,btw_$151-$225
0,0,Jamaica Plain,42.31337133,-71.11089129,Apartment,Private room,2,1,1,1,Real Bed,15,1,15,2,8,115,100,moderate,75,0,lte_$75
0,1,Jamaica Plain,42.32357026,-71.10670813,Apartment,Private room,2,1,1,1,Real Bed,8,1,0,1,2,114,90,flexible,46,0,lte_$75
0,1,Jamaica Plain,42.29559334,-71.11530146,Condominium,Private room,2,1,1,1,Real Bed,11,1,0,2,12,321,100,flexible,75,0,lte_$75
0,1,Jamaica Plain,42.30433801,-71.1087173,Apartment,Entire home/apt,6,1,3,3,Real Bed,11,6,0,1,8,670,89,flexible,500,1,gte_226
0,0,Jamaica Plain,42.30443377,-71.10967689,Apartment,Private room,2,1,1,1,Real Bed,20,1,0,2,4,45,90,strict,60,0,lte_$75
0,1,Jamaica Plain,42.32309569,-71.10851427,Apartment,Entire home/apt,5,1,1,2,Real Bed,18,1,0,2,66,440,90,moderate,130,0,btw_$75-$150
0,1,Jamaica Plain,42.31147167,-71.10529986,Apartment,Entire home/apt,6,1.5,2,3,Real Bed,15,4,20,2,39,764,88,moderate,190,1,btw_$151-$225
0,1,Jamaica Plain,42.30711034,-71.10582363,Apartment,Private room,2,1,1,1,Real Bed,7,1,0,2,24,958,91,moderate,100,0,btw_$75-$150
0,0,Jamaica Plain,42.30983485,-71.11457927,House,Entire home/apt,6,3,3,6,Real Bed,16,1,0,1,2,36,100,flexible,450,1,gte_226
1,1,Jamaica Plain,42.31807257,-71.11267006,Apartment,Entire home/apt,8,2,4,4,Real Bed,18,4,0,2,18,660,99,strict,399,1,gte_226
1,1,Jamaica Plain,42.32394222,-71.10820204,Apartment,Entire home/apt,5,1,2,2,Real Bed,19,4,25,1,13,440,98,moderate,350,1,gte_226
0,1,Jamaica Plain,42.30904986,-71.11253859,Apartment,Entire home/apt,4,1,2,2,Real Bed,20,2,10,2,32,715,98,moderate,200,1,btw_$151-$225
0,1,Jamaica Plain,42.32004367,-71.10784416,Apartment,Private room,2,1,1,1,Real Bed,15,1,0,2,2,22,100,moderate,99,0,btw_$75-$150
0,0,Jamaica Plain,42.30871721,-71.11051776,House,Entire home/apt,6,2,3,4,Real Bed,17,1,0,3,0,0,,flexible,295,1,gte_226
0,1,Jamaica Plain,42.30508831,-71.10735817,Apartment,Private room,2,1,1,1,Real Bed,14,2,30,2,20,667,81,flexible,107,0,btw_$75-$150
0,1,Jamaica Plain,42.30794791,-71.10929999,Apartment,Private room,1,1,1,1,Real Bed,13,1,0,1,18,450,96,moderate,69,0,lte_$75
0,1,Jamaica Plain,42.30970116,-71.11833424,Apartment,Private room,2,1,1,1,Real Bed,21,1,15,1,57,358,92,strict,76,0,btw_$75-$150
1,1,Jamaica Plain,42.32080939,-71.10730266,Apartment,Entire home/apt,2,1,1,1,Real Bed,15,1,25,2,48,212,95,moderate,75,0,lte_$75
0,1,Jamaica Plain,42.31579766,-71.116963,House,Private room,1,1,1,1,Real Bed,14,1,25,1,9,330,78,flexible,55,0,lte_$75
0,1,Jamaica Plain,42.32249609,-71.11475792,Apartment,Private room,2,1,1,2,Real Bed,16,1,0,1,2,2,100,flexible,65,0,lte_$75
0,1,Jamaica Plain,42.31805468,-71.11186936,Condominium,Private room,2,1.5,1,1,Real Bed,11,1,10,2,1,0,,moderate,59,0,lte_$75
1,1,Jamaica Plain,42.29956292,-71.11283945,House,Private room,2,1,1,1,Real Bed,18,1,0,2,5,90,96,moderate,88,0,btw_$75-$150
0,1,Jamaica Plain,42.30988682,-71.11789702,House,Entire home/apt,5,2,4,3,Real Bed,12,3,7,6,0,0,,moderate,164,1,btw_$151-$225
0,1,Jamaica Plain,42.32508878,-71.1072298,House,Entire home/apt,2,1,0,1,Real Bed,20,1,0,2,139,601,93,moderate,90,0,btw_$75-$150
0,1,Jamaica Plain,42.31395141,-71.11600892,Apartment,Entire home/apt,4,2,2,2,Real Bed,16,1,0,5,4,738,100,flexible,185,1,btw_$151-$225
0,0,Jamaica Plain,42.3232429,-71.11357115,Apartment,Private room,2,1,1,1,Real Bed,15,1,0,1,0,0,,flexible,80,0,btw_$75-$150
0,1,Jamaica Plain,42.31838302,-71.1018781,House,Private room,2,1,1,1,Real Bed,14,1,10,2,21,160,91,strict,105,0,btw_$75-$150
0,1,Jamaica Plain,42.30026388,-71.11180739,House,Private room,2,1,1,1,Real Bed,15,1,0,1,192,1027,95,moderate,90,0,btw_$75-$150
1,1,Jamaica Plain,42.3186354,-71.10640628,Apartment,Entire home/apt,2,1,1,1,Real Bed,18,2,0,3,115,1812,97,strict,100,0,btw_$75-$150
1,1,Jamaica Plain,42.31359024,-71.1091153,Apartment,Shared room,2,1,1,1,Real Bed,15,1,20,1,10,192,98,strict,100,0,btw_$75-$150
0,1,Jamaica Plain,42.31813877,-71.10367354,Apartment,Entire home/apt,5,1.5,2,3,Real Bed,16,1,0,2,11,373,100,strict,200,1,btw_$151-$225
0,1,Jamaica Plain,42.32085835,-71.11249877,Apartment,Entire home/apt,8,1.5,4,4,Real Bed,21,6,25,4,2,694,100,strict,300,1,gte_226
0,0,Jamaica Plain,42.3192652,-71.11324624,House,Private room,2,1,1,1,Real Bed,10,1,0,1,0,0,,flexible,60,0,lte_$75
0,1,Jamaica Plain,42.31433572,-71.11641498,Apartment,Entire home/apt,6,1,3,3,Real Bed,21,6,25,1,6,281,100,moderate,319,1,gte_226
1,1,Jamaica Plain,42.30681153,-71.11052442,Apartment,Private room,2,1,1,1,Real Bed,21,1,0,2,91,1174,96,moderate,85,0,btw_$75-$150
0,1,Jamaica Plain,42.32267198,-71.10078612,Condominium,Private room,2,2,1,1,Real Bed,15,1,0,1,10,23,74,flexible,70,0,lte_$75
0,0,Jamaica Plain,42.30977751,-71.11879574,Apartment,Private room,2,1,1,1,Real Bed,13,1,0,1,2,16,60,flexible,50,0,lte_$75
0,1,Jamaica Plain,42.3044244,-71.11429864,Apartment,Entire home/apt,4,1,1,1,Real Bed,14,0,0,3,14,888,86,moderate,119,0,btw_$75-$150
0,1,Jamaica Plain,42.32551167,-71.11320967,Condominium,Entire home/apt,3,1,1,2,Real Bed,18,2,20,1,2,41,100,strict,125,0,btw_$75-$150
0,0,Jamaica Plain,42.31121058,-71.10200967,Apartment,Private room,2,1,1,1,Real Bed,14,1,0,1,5,51,80,flexible,53,0,lte_$75
1,1,Jamaica Plain,42.31874258,-71.11599746,Apartment,Private room,4,1,1,1,Real Bed,16,1,50,1,13,643,95,strict,125,0,btw_$75-$150
0,0,Jamaica Plain,42.30595864,-71.13230208,House,Entire home/apt,6,2.5,4,4,Real Bed,19,5,30,3,1,0,100,strict,199,1,btw_$151-$225
0,1,Jamaica Plain,42.3045593,-71.11364252,Apartment,Entire home/apt,4,1,2,2,Real Bed,13,4,0,2,14,1258,97,strict,205,1,btw_$151-$225
0,1,Jamaica Plain,42.3087358,-71.09977037,Condominium,Entire home/apt,5,1,2,2,Real Bed,16,2,15,4,8,401,95,strict,114,0,btw_$75-$150
1,1,Jamaica Plain,42.31567995,-71.11520101,Apartment,Private room,2,1,1,1,Real Bed,16,1,15,2,131,809,98,moderate,75,0,lte_$75
0,1,Jamaica Plain,42.31556512,-71.11482701,Apartment,Entire home/apt,2,1,1,1,Real Bed,13,2,0,3,8,816,86,strict,185,1,btw_$151-$225
1,1,Jamaica Plain,42.295723,-71.11942118,Apartment,Private room,2,1,1,1,Real Bed,17,2,25,1,150,699,97,flexible,75,0,lte_$75
0,1,Jamaica Plain,42.3119946,-71.1104509,Apartment,Entire home/apt,4,2.5,2,2,Real Bed,14,2,20,3,0,0,,strict,180,1,btw_$151-$225
0,0,Jamaica Plain,42.30687965,-71.11231784,Apartment,Shared room,2,1,1,1,Pull-out Sofa,16,1,0,1,5,139,96,flexible,70,0,lte_$75
1,1,Jamaica Plain,42.31592271,-71.09957963,Bed & Breakfast,Entire home/apt,2,1,1,2,Real Bed,19,2,15,2,71,369,96,strict,150,1,btw_$75-$150
0,1,Jamaica Plain,42.30653907,-71.11789286,Apartment,Entire home/apt,4,1,2,2,Real Bed,19,1,0,1,10,531,96,moderate,120,0,btw_$75-$150
0,0,Jamaica Plain,42.30861526,-71.11488311,Apartment,Private room,2,2,1,1,Real Bed,20,1,0,14,1,0,100,strict,92,0,btw_$75-$150
0,1,Jamaica Plain,42.29877632,-71.11159713,Apartment,Private room,2,1,1,1,Real Bed,15,0,0,3,6,58,100,moderate,84,0,btw_$75-$150
0,1,Jamaica Plain,42.2974048,-71.11391373,Apartment,Entire home/apt,4,1,2,2,Real Bed,14,4,50,2,29,730,89,strict,200,1,btw_$151-$225
